Feature,Importance
TotalCharges,0.163673718203565
MonthlyCharges,0.16211973321006962
tenure,0.15954295837197277
Contract,0.13598170373214813
InternetService,0.06148045486425735
PaymentMethod_Electronic check,0.039834871987505655
PaperlessBilling,0.026151040728236277
OnlineSecurity,0.02458114740793293
gender,0.024315607192920648
TechSupport,0.021265865027202114
Partner,0.021028313258582277
OnlineBackup,0.0207447463657067
Dependents,0.01992477208482111
MultipleLines,0.017420288988058252
StreamingMovies,0.017329474240411796
DeviceProtection,0.017252911261379008
SeniorCitizen,0.016429489587287734
StreamingTV,0.01616441787710006
PaymentMethod_Credit card (automatic),0.01405606767293923
PaymentMethod_Mailed check,0.012578653189310497
PhoneService,0.008123764748592848
